date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
2002-04-01,HKG,HKD,Hong Kong,11.2,8,1.4,-0.40426,-0.41085,-0.51482,-0.30534,0.104,41187.4510401786,2.54031374133592,-0.42228,-0.49869,-0.58054,-0.32427,-0.21695
2002-04-01,HUN,HUF,Hungary,459,272,1.6875,-0.28191,-0.28986,-0.41518,-0.16269,0.33071,7729.28090882353,1.91080164124569,-0.07423,-0.19667,-0.32784,0.08284,0.2548
2002-04-01,IDN,IDR,Indonesia,16000,9430,1.69671261930011,-0.27799,-0.28599,-0.41199,-0.15812,0.33798,1257.0998884625,1.78902820742381,-0.00582,-0.13731,-0.27817,0.16285,0.34753
2002-04-01,ISR,ILS,Israel,12,4.79,2.50521920668058,0.06605,0.05425,-0.13179,0.24305,0.97554,17226.5907916667,2.08949256983157,0.25684,0.09061,-0.08746,0.47007,0.70354
2002-04-01,JPN,JPY,Japan,262,130,2.01538461538462,-0.14239,-0.15188,-0.30155,0,0.58927,37509.351620229,2.47111067132034,-0.14505,-0.25813,-0.37926,0,0.15881
2002-04-01,KOR,KRW,South Korea,3100,1304,2.37730061349693,0.01162,0.00042,-0.17612,0.17958,0.87467,11314.4586049032,1.97825639838857,0.25972,0.09312,-0.08537,0.47345,0.70745
2002-04-01,MEX,MXN,Mexico,21.9,9.28,2.35991379310345,0.00422,-0.0069,-0.18215,0.17095,0.86096,7921.89442465754,1.91442564514017,0.2922,0.1213,-0.06178,0.51144,0.75148
2002-04-01,MYS,MYR,Malaysia,5.04,3.8,1.32631578947368,-0.43561,-0.44186,-0.54035,-0.3419,0.04589,7422.27124007937,1.90502528525968,-0.27017,-0.3667,-0.4701,-0.14635,-0.01078
2002-04-01,NOR,NOK,Norway,35,8.56,4.08878504672897,0.73991,0.72065,0.41701,1.02879,2.2243,23275.9324014286,2.20331032274435,0.94532,0.68804,0.41242,1.27537,1.63673
2002-04-01,NZL,NZD,New Zealand,3.6,2.24,1.60714285714286,-0.31611,-0.32368,-0.44303,-0.20256,0.26735,21212.6327222222,2.1644895471588,-0.22165,-0.3246,-0.43488,-0.0896,0.05498
2002-04-01,PER,PEN,Peru,8.5,3.43,2.47813411078717,0.05453,0.04285,-0.14118,0.22961,0.95419,1852.19258823529,1.80022481661408,0.44302,0.25217,0.04771,0.68784,0.95589
2002-04-01,PHL,PHP,Philippines,65,51,1.27450980392157,-0.45766,-0.46366,-0.55831,-0.36761,0.00504,1850.87778769231,1.80020007877433,-0.25784,-0.356,-0.46115,-0.13193,0.00593
2002-04-01,POL,PLN,Poland,5.9,4.04,1.46039603960396,-0.37855,-0.38543,-0.49388,-0.27538,0.15163,8132.91027118644,1.91839588703264,-0.20199,-0.30754,-0.4206,-0.0666,0.08163
2002-04-01,RUS,RUB,Russia,39,31.2,1.25,-0.46809,-0.47397,-0.5668,-0.37977,-0.01429,3955.50957564103,1.83979851382164,-0.28778,-0.38198,-0.48289,-0.16694,-0.03465
