date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,GDP_bigmac,adj_price,USD,EUR,GBP,JPY,CNY
2004-05-01,HUN,HUF,Hungary,530,211,2.51184834123223,8790.48216579245,2.1962224704078,0.3221,-0.13214,-0.11508,0.40097,0.87692
2004-05-01,IDN,IDR,Indonesia,16100,9120,1.76535087719298,1561.23411054969,2.04060223556874,5e-05,-0.34355,-0.33064,0.05971,0.41971
2004-05-01,JPN,JPY,Japan,262,113,2.31858407079646,38701.982185229,2.84011165803052,-0.0563,-0.38053,-0.36835,0,0.33973
2004-05-01,MYS,MYR,Malaysia,5.04,3.8,1.32631578947368,8827.91281150794,2.19702822030488,-0.30216,-0.54192,-0.53291,-0.26052,-0.00931
2004-05-01,MEX,MXN,Mexico,24,11.6,2.06896551724138,8206.01276625,2.18364090389936,0.09527,-0.28104,-0.26691,0.16061,0.55489
2004-05-01,NZL,NZD,New Zealand,4.35,1.64,2.65243902439024,19952.5810735632,2.43650312477882,0.25842,-0.17394,-0.1577,0.33349,0.78652
2004-05-01,NOR,NOK,Norway,35.5,6.8491,5.18316275131039,24710.7415777465,2.53892955272882,1.35989,0.54909,0.57954,1.50067,2.35021
2004-05-01,PAK,PKR,Pakistan,110,57.76,1.90443213296399,1013.76973454545,2.02881725681178,0.0851,-0.28771,-0.27371,0.14983,0.54046
2004-05-01,PER,PEN,Peru,8.99,3.49,2.57593123209169,2052.55324026696,2.05117860502837,0.45171,-0.04707,-0.02833,0.53831,1.06091
2004-05-01,PHL,PHP,Philippines,69,55.9,1.23434704830054,2061.82344333333,2.05137815983229,-0.30443,-0.54341,-0.53444,-0.26294,-0.01254
2004-05-01,POL,PLN,Poland,6.3,3.87,1.62790697674419,8690.48093333334,2.1940697962762,-0.14232,-0.437,-0.42593,-0.09115,0.21761
2004-05-01,RUS,RUB,Russia,42,29,1.44827586206897,5753.79037071429,2.13085319732812,-0.21432,-0.48426,-0.47412,-0.16745,0.11539
2004-05-01,SAU,SAR,Saudi Arabia,2.4,3.7502,0.639965868487014,42560.80465,2.92317850724929,-0.74693,-0.83388,-0.83061,-0.73183,-0.64072
